barrio,precio,numero_habitaciones,reseñas,servicios
justicia,161.0,0.0,6,"Mosquito net,Wifi,AC - split type ductless system,Kitchen,Smart lock,Hot water,Iron,Microwave,Hangers,Free washer  In unit,Heating,Toaster,Hot water kettle,Courtyard view,Shampoo,43 inch HDTV,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Cleaning products,Oven,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
castellana,82.0,2.0,13,"Ethernet connection,Sound system,Books and reading material,First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,TV with Apple TV,Stove,Smart lock,Hot water,Iron,Luggage dropoff allowed,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Dining table,Toaster,Portable heater,Shower gel,Hot water kettle,Carbon monoxide alarm,Washer,Fire extinguisher,Shampoo,Smoke alarm,Wine glasses,Radiant heating,Long term stays allowed,Body soap,Hair dryer,Bed linens,Pets allowed,Freezer,Blender,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Self check-in,Cleaning available during stay,Dedicated workspace,Shared backyard,Cooking basics,Coffee maker: drip coffee maker,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
palomeras bajas,28.0,1.0,59,"Wifi,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Free washer  In unit,Heating,Lockbox,TV,Elevator,Free parking on premises,Long term stays allowed,Hair dryer,Pets allowed,Host greets you,Coffee maker,Free street parking,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
trafalgar,106.0,1.0,24,"Wifi,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Heating,Toaster,Shower gel,Hot water kettle,TV,Patio or balcony,Shampoo,Wine glasses,Body soap,Hair dryer,Bed linens,Coffee maker,Drying rack for clothing,Dishes and silverware,Conditioner,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
lucero,84.0,1.0,153,"Outlet covers,Ethernet connection,Books and reading material,First aid kit,Wifi,Childrens books and toys,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Dining table,Pack n play/Travel crib,Heating,Toaster,Paid parking lot on premises  1 space,Shower gel,TV,Washer,Fire extinguisher,Fireplace guards,High chair,Shampoo,Free parking on premises,Refrigerator,Smoke alarm,Exterior security cameras on property,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Freezer,Coffee maker,Blender,Laundromat nearby,Free street parking,Drying rack for clothing,Conditioner,Window guards,Private entrance,Cleaning products,Self check-in,Childrens dinnerware,Babysitter recommendations,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Baby monitor,Dishes and silverware,Crib,Single level home"
cuatro caminos,69.0,1.0,0,"Exterior security cameras on property,Wifi,Hair dryer,Kitchen,TV,Washer,Dedicated workspace,Iron"
embajadores,48.0,1.0,82,"Extra pillows and blankets,Heating,Wifi,Kitchen,Washer,Host greets you,TV with Chromecast,Coffee maker,Refrigerator,Dishes and silverware,Portable air conditioning"
gaztambide,51.0,1.0,8,"Breakfast,Wifi,Clothing storage: closet,Kitchen,Essentials,Smart lock,Hot water,Iron,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Portable fans,Free washer  In unit,Elevator,Courtyard view,Central heating,Lock on bedroom door,Stainless steel oven,Stainless steel electric stove,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Freezer,Laundromat nearby,Drying rack for clothing,Dishwasher,Cleaning products,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
fuente del berro,112.0,2.0,1,"Other electric stove,Wifi,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Clothing storage,Dining table,Free washer  In unit,Toaster,Hot water kettle,Elevator,Ceiling fan,Wine glasses,Hair dryer,55 inch TV,Host greets you,Heating - split type ductless system,Blender,Drying rack for clothing,Dishwasher,Coffee maker: Nespresso,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
cortes,155.0,1.0,47,"Wifi,Clothing storage: closet,Induction stove,Kitchen,Essentials,Hot water,Iron,Microwave,Paid crib - available upon request,Hangers,Dining table,Heating,Toaster,Hot water kettle,Outdoor shower,TV,Washer,Elevator,Wine glasses,Hair dryer,Bed linens,Pets allowed,Host greets you,Freezer,Outdoor dining area,Coffee maker,Blender,Drying rack for clothing,Dishes and silverware,Dishwasher,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Outdoor furniture"
