barrio,distrito,nombre,estado_licencia,capacidad
castillejos,tetuan,51 NIGHTS OF DRINKS,Abierta,36.0
rios rosas,chamberi,CAFETERIA SYLKAR BAR,Abierta,41.2
ventas,ciudad lineal,LA TAPITA DE EVA,Abierta,25.92
campamento,latina,PIKATAPA,Abierta,45.12
casco h.vicalvaro,vicalvaro,BAR RINCON DE CARLA,Abierta,34.56
guindalera,salamanca,RESTAURANTE CERVECERIA CASA LEANDRO,Abierta,26.25
casco h.vallecas,villa de vallecas,CAFETERIA HNOS. ARRANZ RESTAURANTE,Abierta,59.5
trafalgar,chamberi,NUDISTA TAKE AWAY,Abierta,17.01
niño jesus,retiro,YEDRA,Abierta,15.78
prosperidad,chamartin,BOCATERIA  EL DUENDE,Abierta,44.88
puerta del angel,latina,CAFETERIA PALACIOS SALON COMEDOR,Abierta,10.21
niño jesus,retiro,LIDL,Abierta,39.23
castillejos,tetuan,RESTAURANTE COCINA LIBANESA,Abierta,15.33
nueva españa,chamartin,LA BOMBA BISTRO,Abierta,50.4
san andres,villaverde,BAR CAFETERIA ROBLEDO,Abierta,30.0
timon,barajas,CHURRERIA AVENIDA,Abierta,38.62
concepcion,ciudad lineal,ORALE CALERO,Abierta,21.66
aluche,latina,BAR CEREZO CERVECERIA,Abierta,52.89
almendrales,usera,CAFETERIA  RUBI,Abierta,26.08
palacio,centro,OLE MADRID SOUVENIRS,Abierta,9.72
piovera,hortaleza,TAJ MAHAL,Abierta,5.75
aravaca,moncloa-aravaca,CAFETERÍA-HELADERÍA.,Abierta,85.8
legazpi,arganzuela,VIPS - GINOS (MISMO ESTABLECIMIENTO Y LICENCIA),Abierta,15.21
peña grande,fuencarral-el pardo,EL CHORRON BAR-RESTAURANTE,Abierta,105.63
lista,salamanca,TABERNA EL RINCON DE PARDIÑAS RESTAURANTE,Abierta,23.2
gaztambide,chamberi,CHIRIPA BAR,Abierta,19.07
acacias,arganzuela,CAFETERIA SOMOLINOS,Abierta,22.15
castillejos,tetuan,BAR 7 COPAS,Abierta,44.28
palacio,centro,TABERNA ANGOSTA,Abierta,14.4
estrella,retiro,HOSPITAL BEATA MARIA ANA,Abierta,59.5
chopera,arganzuela,CAFETERIA TRANSMONTANO,Abierta,10.4
estrella,retiro,EL RINCON DE ESTRELLA,Abierta,10.19
recoletos,salamanca,MAJE,Abierta,2.88
los rosales,villaverde,CERVECERIA CAFE DI MADRID,Abierta,184.02
canillas,hortaleza,LA CAFETERIA,Abierta,80.99
ensanche de vallecas,villa de vallecas,RESTAURANTE MR. CHEN,Abierta,32.4
arguelles,moncloa-aravaca,APARTAHOTEL ROSALES,Abierta,9.1
sol,centro,STAR STUDIO COYOTE,Abierta,97.92
hispanoamerica,chamartin,BAR,Abierta,36.36
recoletos,salamanca,CASA JULIAN                                       ,Abierta,25.88
san cristobal,villaverde,YOLO BAR,Abierta,40.04
embajadores,centro,STARBUCKS COFFE,Abierta,34.1
goya,salamanca,CERVECERIA LA SUREÑA,Abierta,45.36
